start_mvt,end_mvt,exercise,gyroX_max,gyroX_mean,gyroX_min,gyroX_std,gyroY_max,gyroY_mean,gyroY_min,gyroY_std,gyroZ_max,gyroZ_mean,gyroZ_min,gyroZ_std,highAccelX_max,highAccelX_mean,highAccelX_min,highAccelX_std,highAccelY_max,highAccelY_mean,highAccelY_min,highAccelY_std,highAccelZ_max,highAccelZ_mean,highAccelZ_min,highAccelZ_std,lowAccelX_max,lowAccelX_mean,lowAccelX_min,lowAccelX_std,lowAccelY_max,lowAccelY_mean,lowAccelY_min,lowAccelY_std,lowAccelZ_max,lowAccelZ_mean,lowAccelZ_min,lowAccelZ_std
1020,1157,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,7748,53.21167883,-3692,1965.91911,7366,97.73722628,-6970,2222.357301,4436,221.3941606,-8894,2051.53737,133,-333.3211679,-1792,245.0933476,3673,266.0583942,-1878,649.9912077,1236,501.2481752,-599,215.0973029,5335,668.2992701,-13926,2453.143141,32730,-1341.40146,-22780,6501.734328,8369,1015.335766,-9996,2152.937789
1168,1305,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,7600,128.7372263,-3556,1759.699696,8720,201.7591241,-4775,2120.342184,4562,287.0875912,-9360,2104.489006,81,-348.4014599,-1928,276.5323473,3673,271.1459854,-1911,628.7275846,1323,494.0875912,-681,240.7325668,4810,517.5255474,-15282,2767.040509,32730,-1290.554745,-23111,6288.429729,9232,943.7226277,-10810,2409.071998
1318,1455,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,8430,45.31386861,-4510,1831.973722,9170,31.75912409,-5018,2127.618727,4665,340.1167883,-7632,1952.736986,1162,-306.0510949,-1416,288.3741269,3673,278.6277372,-1981,679.4974679,1042,491.1751825,-1968,293.5582139,15627,941.8759124,-10166,2885.534708,32730,-1215.656934,-23810,6796.62867,6420,914.7372263,-23682,2937.180762
1467,1604,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,9612,286.5109489,-3328,2044.594912,8754,-93.26277372,-6620,2563.946023,4150,292.5620438,-8872,2139.367464,527,-333.8394161,-2055,326.8253094,3673,279.9854015,-1839,670.1832825,881,468.1678832,-1462,263.211349,9270,663.1532847,-16554,3270.1532,32730,-1202.773723,-22391,6702.839521,4812,683.9124088,-18622,2633.680581
1468,1605,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,9612,265.7518248,-3328,2051.987837,8754,-96.67153285,-6620,2563.239503,4150,252.8394161,-8872,2158.207349,527,-335.8759124,-2055,326.7728444,3673,277.6058394,-1839,671.1725731,881,465.1240876,-1462,263.6088191,9270,642.7445255,-16554,3269.643608,32730,-1226.547445,-22391,6712.735702,4812,653.4306569,-18622,2637.649454
1608,1745,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,7860,-78.24087591,-5204,2002.231577,10154,284.4233577,-8000,2425.844279,4172,206.0218978,-7386,2127.980161,443,-360.9124088,-1702,265.9234873,3673,294.1605839,-2138,646.325442,992,502.9708029,-409,193.0257504,8430,391.1167883,-13026,2661.96484,32730,-1060.40146,-25383,6464.608341,5928,1032.525547,-8095,1932.562997
1751,1888,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,9340,52.94890511,-3958,1921.055345,9740,65.11678832,-5534,2334.197163,3992,344.0583942,-7174,1805.530869,505,-319.0583942,-1277,242.5441066,3673,276.4525547,-1857,614.1537455,1208,499.9270073,-1635,261.395875,9051,810.9708029,-8779,2428.377439,32730,-1237.211679,-22575,6143.224857,8084,1002.167883,-20353,2615.479122
1893,2030,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,7652,106.4744526,-3660,1650.016359,10355,191.0072993,-4983,2339.920117,4610,391.3065693,-7719,1807.623365,93,-348.8905109,-2257,304.4508238,3673,266.189781,-2030,687.5592331,3044,522.080292,-803,307.1004592,4935,513.540146,-18575,3046.498062,32730,-1340.328467,-24306,6877.184814,26440,1223.788321,-12032,3071.821912
2186,2323,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,10739,258.9343066,-2932,2206.594479,8652,133.1386861,-7128,2594.198945,4065,213.0656934,-12505,2324.684638,118,-367.5109489,-2234,307.8513086,3672,268.5912409,-1849,646.0753753,1591,490.1313869,-448,220.0514251,5184,326.2481752,-18344,3080.63677,32722,-1316.729927,-22490,6461.925697,11915,903.9708029,-8488,2202.354575
2324,2461,jab_cross_waterbag_hard_20_T7R_1531551996366.txt,9394,-50.67883212,-3661,2122.910107,10980,134.080292,-5537,2463.101751,3600,118.0437956,-7468,2031.495128,611,-359.4306569,-1718,275.5631612,3673,268.5109489,-2048,675.7179963,1698,500.1094891,-1135,240.9606899,10116,406.6569343,-13188,2758.422342,32730,-1316.620438,-24483,6759.006086,12988,1003.875912,-15358,2411.819503
